docid	Dominant_Topic	author	orig_title	Topic_Perc_Contrib	date
uc1.b3347138	51	stephen ethel longstreet	Man of Montmartre; a novel based on the life of Maurice Utrillo	0.0853	1958
mdp.39015058799985	77	jack vance	Maske : Thaery	0.042	1976
mdp.39015050112484	29	amy bloom	A blind man can see how much I love you : stories	0.1257	2000
mdp.39015046411453	44	dick francis	In the frame	0.0702	1977
mdp.39015061190040	28	aimee bender	Willful creatures : stories	0.0618	2005
uc1.b4055593	63	ernest gordon	Through the valley of the Kwai	0.0845	1962
mdp.39015012268556	2	eric linklater	The merry muse	0.0816	1959
mdp.39015066666549	30	andre pieyre de mandiargues	The motorcycle	0.0946	1965
pst.000006593025	41	"donald j. sobol
james bernardin"	Encyclopedia Brown gets his man	0.038	1967
mdp.39015040065669	2	harry crews	Celebration : a novel	0.0684	1998
mdp.39015047609345	41	ashley warlick	The summer after June	0.0534	2000
uc1.$b800734	20	elliott arnold	Forests of the night	0.0631	1971
uc1.b4098183	13	nan chauncy	The roaring 40	0.0714	1963
uc1.b3897641	59	brigid brophy	Hackenfeller's Ape	0.1497	1954
inu.32000009540487	48	rosemary hawley jarman	The King's grey mare	0.0802	1973
mdp.39015040065818	0	robin white	Siberian light	0.1259	1997
mdp.39015066661243	32	suzanne prou	The yellow summer	0.0731	1972
mdp.39015056679247	60	daniel hayes	Kissing you : stories	0.0886	2003
pst.000044080556	75	"john bellairs
brad strickland"	The ghost in the mirror	0.0972	1994
mdp.39015005443323	24	ignazio silone	Bread and wine	0.10099999999999999	1962
uc1.32106010696398	1	beth nugent	City of boys : stories	0.1109	1992
uc1.32106013037087	70	abdulrazak gurnah	Admiring silence	0.0752	1996
umn.31951002458782f	11	edward hale bierstadt	Satan was a man : a novel of murder	0.0308	1935
inu.39000000475686	64	john e. gardner	Icebreaker	0.2123	1983
uc1.b3462557	31	henry carlisle	The Jonah man	0.1912	1984
uc1.$b103950	14	william manchester	Shadow of the monsoon	0.0768	1956
mdp.39015000612641	53	michael mewshaw	Land without shadow	0.0728	1979
mdp.39015010204546	30	leslie morgan	The naked truth and eleven other stories	0.1175	1934
uc1.b4361961	79	robert j seidman	One smart Indian	0.0891	1977
pst.000006690939	11	chris massie	The green circle	0.0944	1943
pst.000025010558	2	yuri yasuda	Old tales of Japan	0.0514	1948
mdp.39015077609884	29	alice munro	Hateship, friendship, courtship, loveship, marriage : stories	0.1448	2008
mdp.39015064904959	65	larry mcmurtry	Telegraph days : a novel	0.0539	2006
mdp.39015029198515	24	richard wiley	Indigo	0.1124	1992
mdp.39015065979604	69	robin maugham	The man with two shadows	0.0411	1958
mdp.39015056687505	25	kelly cherry	We can still be friends : a novel	0.0608	2003
mdp.39015031222998	78	erskine caldwell	A house in the uplands	0.1216	1946
mdp.39015040128970	42	angela thirkell	Close quarters	0.1217	1958
uc1.b4951667	61	paula fox	The western coast	0.1066	1972
mdp.39015041102412	29	michael carragher	A world full of places : and other stories	0.0897	1997
inu.30000087071688	45	cathy kelly	What she wants : a novel	0.0867	2003
mdp.39015008155015	79	ned calmer	The strange land	0.1167	1950
mdp.39015008913645	73	cora sandel	Alberta alone	0.2149	1965
mdp.39015016435086	56	alex w karmel	Mary Ann	0.0755	1958
mdp.39015017744312	7	phyllis barber	The school of love : short stories	0.077	1990
mdp.39015060020453	41	diana gabaldon	Lord John and the private matter	0.1425	2003
uc1.b3142996	52	sidney meller	Roots in the sky	0.1324	1938
mdp.39015050326159	71	david leavitt	Martin Bauman, or, A sure thing	0.0924	2000
uc1.$b326482	13	william o steele	The lone hunt	0.0486	1956
pst.000005756506	69	mary fanning wickham	The petrified gesture : a novel	0.069	1950
uc1.$b783890	67	james hanley	The secret journey	0.0896	1936
mdp.39015074053342	24	michael govrin	Snapshots	0.0669	2007
mdp.39015029947879	51	marta morazzoni	The invention of truth	0.1108	1993
mdp.39015060673756	43	ridley pearson	Cut and run	0.1327	2005
uc1.$b106113	18	marghanita laski	Toasted English	0.0577	1949
osu.32435018478552	76	margaret bell houston	Bride's Island : a novel	0.0535	1951
uc1.b4975981	56	bette ann moskowitz	Leaving Barney	0.1251	1988
uc1.b4463518	51	don matheson	Ninth life : a Charlie Gamble mystery	0.1432	1989
mdp.39015013905958	9	deborah eisenberg	Transactions in a foreign currency : stories	0.0853	1987
mdp.39015019054157	57	tom stoppard	Lord Malquist & Mr. Moon	0.0627	1968
inu.32000007577812	32	angus wilson	Anglo-Saxon attitudes : a novel	0.1278	1956
mdp.39015066665442	69	jean reverzy	The crossing	0.0753	1956
mdp.39015064913166	67	steve yarbrough	The end of California	0.0518	2006
mdp.39015061160530	0	kirk mitchell	Sky woman falling	0.1869	2003
mdp.49015002612373	41	robert ludlum	The Chancellor manuscript	0.1801	1977
mdp.39015034303886	36	charles mccarry	Shelley's heart : a novel	0.1319	1995
mdp.39015066047559	70	ethan canin	Emperor of the air : stories	0.0974	1988
uc1.b4099098	58	miriam powell	Jareb;	0.0621	1952
uc1.32106012298326	44	william goldman	Soldier in the rain	0.0813	1960
uc1.$b615632	18	holarich mann	Young Henry of Navarre	0.081	1937
mdp.39076002946999	26	susan dworkin	Stolen goods	0.1052	1987
mdp.39015050741381	51	robin lippincott	Our Arcadia : an American watercolor	0.08199999999999999	2001
mdp.39015047066215	66	victor rangel-ribeiro	Tivolem	0.0451	1998
uc1.$b323508	33	gerald butler	Kiss the blood off my hands	0.0848	1946
mdp.39015042556715	52	franz werfel	Twilight of a world	0.1016	1937
uc1.b2794020	60	colette	The stories of Colette	0.1082	1954
mdp.39015015386876	22	jp donleavy	A fairy tale of New York	0.0653	1973
mdp.39015021640977	72	leon bing	Do or die	0.1445	1991
pst.000061658875	23	michael bishop	Transfigurations	0.0919	1979
uc1.$b87042	38	katharine newlin burt	Strong citadel	0.0531	1949
mdp.39015046367093	60	marcel ayme	The proverb, and other stories	0.1221	1961
mdp.39015047740561	29	shyam selvadurai	Cinnamon gardens	0.1782	1998
uc1.b4357850	60	leon rooke	The broad back of the angel	0.0772	1977
pst.000012657544	52	elizabeth goudge	Towers in the mist	0.1301	1973
mdp.39015033450548	10	francis ryck	Undesirable company	0.0543	1974
mdp.39015063945292	6	catherine meadows	Friday market	0.0422	1938
uc1.32106011376040	12	philip k. dick	The divine invasion	0.0957	1981
uc1.b4278928	70	josa donoso	Charleston : & other stories	0.0545	1977
uc1.32106007171272	39	don merritt	My sister's keeper	0.0929	1983
mdp.39015041109375	25	george rabasa	Floating kingdom : a novel	0.0443	1997
mdp.39015025122964	25	ninotchka rosca	The monsoon collection	0.0716	1983
mdp.39015045580209	49	ann packer	The dive from Clausen's pier	0.0587	2002
uc1.b3796816	18	ralph bates	Lean men, an episode in a life	0.0441	1934
uc1.$b104340	14	elizabeth fenwick	Afterwards	0.0921	1950
uc1.$b87326	48	rose franken	Intimate story	0.0451	1955
mdp.39015002966607	20	margery allingham	Crime and Mr. Campion	0.0467	1937
uc1.32106012297450	78	sherley anne williams	Dessa Rose	0.1737	1986
mdp.39015019810483	75	terry brooks	The scions of Shannara	0.0613	1990
uc1.b4948995	64	gerald seymour	In honor bound	0.1435	1984
mdp.39015073992573	69	lynne sharon schwartz	Leaving Brooklyn : a novel	0.0591	1989
mdp.39015040669601	28	melissa pritchard	The instinct for bliss : short stories	0.1091	1995
mdp.39015056671277	15	carla trujillo	What night brings : a novel	0.109	2003
mdp.39015008727011	39	george v higgins	A choice of enemies	0.1046	1984
mdp.39015073818505	22	richard monaco	Parsival : or, A knight's tale	0.1087	1977
uc1.b3752556	56	emmanuel bove	My friends	0.0956	1945
uc1.b4089023	15	henry gregor felsen	Bertie comes through; illus. by Jane Toan	0.128	1947
uc1.$b243628	52	edith olivier	Mary Magdalen	0.0399	1935
mdp.39015058209753	15	lucy corin	Everyday psychokillers : a history for girls : a novel	0.1079	2004
uc1.b3910695	75	diana l paxson	The white raven	0.0912	1988
uc1.32106015521450	11	john steinbeck	The pearl;	0.042	1947
pst.000032865844	79	"duong thu huong
nina mcpherson
phan huy duong"	Novel without a name	0.1167	1996
pst.000022799944	13	morgan llywelyn	Lion of Ireland	0.0751	1979
inu.30000026037790	9	jewelle gomez	The Gilda stories	0.0993	1991
mdp.39015042092836	54	jean lévi	The dream of Confucius	0.0831	1992
uc1.32106010338751	39	robert b. parker	A Catskill eagle : a Spenser novel	0.115	1985
mdp.39015013790400	24	liam oflaherty	Insurrection	0.0377	1950
mdp.39015040780929	60	shena mackay	Dreams of dead women's handbags	0.0812	1987
mdp.39015028870114	71	donald harington	Ekaterina : a novel	0.0999	1993
uc1.b4975685	78	nikki giovanni	Sacred cows-- and other edibles	0.0819	1988
mdp.39015030843257	64	james aldridge	The diplomat	0.0906	1950
mdp.39015014722592	62	rk narayan	Talkative man	0.1474	1986
mdp.39015003930461	52	rumer godden	A breath of air	0.0707	1950
uc1.$b242575	60	john fante	Dago red	0.0563	1940
mdp.39015005665032	11	ivy compton burnett	Mother and son	0.0683	1955
mdp.39015056315701	1	sharon solwitz	Bloody Mary : a novel	0.1024	2003
mdp.39015037464099	57	richard paul evans	Timepiece	0.0721	1996
uc1.32106018138799	70	todd d. brown	Entries from a hot pink notebook	0.0694	1995
mdp.39015028900523	63	john rechy	The miraculous day of Amalia Gómez : a novel	0.0594	1993
uc1.b4089213	67	john masters	Far, far the mountain peak, a novel	0.0531	1957
mdp.39015050154577	79	richard parry	That fateful lightning : a novel of Ulysses S. Grant	0.0646	2000
mdp.39015063300761	15	judy doenges	The most beautiful girl in the world : a novel	0.1395	2006
uc1.$b57130	4	letitia preston osborne	They change their skies	0.0541	1945
uc1.b4975764	36	peter benchley	Q clearance	0.077	1986
uc1.b3884189	74	howell raines	Whiskey man	0.0545	1977
uc1.$b396006	46	georges simenon	Black rain, a novel	0.0694	1947
mdp.39015049665824	16	jay cantor	The death of Che Guevara : a novel	0.086	1983
mdp.39015014859618	68	henry treece	The dark island; a novel	0.09699999999999999	1952
uc1.$b102432	10	sheila kaye smith	The happy tree	0.0927	1949
uc1.$b783891	46	james hanley	Stoker Bush	0.0535	1935
mdp.39015053525708	64	frank oneill	Roman circus : a novel	0.1246	1990
mdp.39015002758020	18	george santayana	The last Puritan, a memoir in the form of a novel	0.1247	1936
mdp.39015061139039	30	lauro martines	Loredana : a Venetian tale	0.06	2004
uc1.$b115459	6	jeffrey ashford	Counsel for the defense	0.115	1960
mdp.39015000613144	46	frank g slaughter	Flight from Natchez	0.0585	1955
uc1.b3727839	67	gladys schmitt	Rembrandt, a novel	0.0734	1961
mdp.39015045699959	40	laura mullen	A complicated situation : stories	0.1399	1998
uc1.b3406956	18	mildred lee	The rock and the willow	0.0732	1963
mdp.39015013942209	71	edith wharton	The reef	0.0358	1937
mdp.39015054458958	48	josephine lawrence	A tower of steel	0.0601	1943
mdp.39015046832427	7	david lodge	Out of the shelter	0.081	1970
pst.000065261590	60	angela carter	Burning your boats : the collected short stories	0.0639	1992
uc1.$b800646	31	james warner bellah	Irregular gentleman	0.0776	1948
wu.89099916637	13	john brick	The raid	0.1068	1951
mdp.39015039610400	24	edmund p murray	Kulubi	0.0786	1973
pst.000062627856	28	dyan sheldon	I conquer Britain	0.07400000000000001	2007
uc1.$b703664	66	gabrielle roy	Street of riches	0.0501	1957
mdp.39015030948338	27	geoff brown	My struggle	0.051	1975
uc1.32106005219636	64	donald e westlake	Kahawa	0.12300000000000001	1982
mdp.39015066296073	31	hortense calisher	On keeping women	0.0431	1977
mdp.39015062291573	38	ruby m ayres	The tree drops a leaf	0.0792	1939
uc1.b4084522	17	"elie wiesel
frances frenaye"	Dawn	0.0483	1961
inu.39000005878793	65	brenda hughes	New Guinea folk-tales	0.0564	1959
mdp.39015040135223	73	david gilbert	Remote feed	0.0735	1998
pst.000030639546	71	damon ed knight	A century of great short science fiction	0.0603	1962
mdp.39015042472095	66	jim grimsley	Comfort & joy : a novel	0.0616	1999
mdp.39015016451349	32	zdena berger	Tell me another morning, a novel	0.0808	1961
pst.000015644138	63	james carroll	Prince of peace	0.1729	1985
mdp.39015049628194	7	"daphne du maurier
daphne du maurier"	Don't look now	0.0507	1971
pst.000012284252	43	frederick forsyth	No comebacks : collected short stories	0.0791	1982
uc1.b4450141	57	ursula zilinsky	The long afternoon	0.075	1984
mdp.39015040747803	49	brad leithauser	The friends of Freeland : a novel	0.0893	1997
mdp.39015060874594	15	jodi angel	The history of Vegas : stories	0.0726	2005
mdp.39015046902329	33	patrick mccabe	Breakfast on Pluto	0.152	1998
mdp.39015042473200	58	"gabriel garcía márquez
gabriel garcia marquez"	In evil hour	0.0849	1979
uc1.$b120300	42	jean detre	A happy ending	0.043	1967
uc1.$b100792	52	jan de hartog	The little ark	0.063	1953
uc1.$b474910	52	arnold zweig	The axe of Wandsbek	0.0709	1947
mdp.39015000542384	55	william pearson	This company of men	0.0619	1963
uc1.32106005264780	24	raymond williams	The Volunteers	0.1519	1978
uc1.32106018939329	66	george hagen	Tom Bedlam : a novel	0.0648	2007
mdp.39015061752658	79	lee child	The enemy : a Jack Reacher novel	0.1561	2004
mdp.39015063759834	58	hubert skidmore	I will lift up mine eyes	0.042	1936
uc1.b4362879	31	lt nicholas monsarrat	H. M. corvette	0.1439	1942
mdp.39015015494993	3	frederic raphael	After the war	0.0802	1988
mdp.39015054020717	41	elizabeth daly	Evidence of things seen	0.0375	1943
mdp.39015040571245	60	mario benedetti	Blood pact & other stories	0.0552	1997
uc1.b3346827	26	alfred grossman	Marie beginning	0.0654	1964
mdp.49015000489246	79	henry barnard safford	MR. MADISON'S WAR	0.0719	1936
pst.000029698035	27	katherine anne porter	The leaning tower, and other stories	0.0571	1944
mdp.39015037758730	47	paul griner	Follow me	0.0907	1996
mdp.39015005017424	40	mildred haun	The hawk's done gone, and other stories	0.0688	1968
mdp.39015021526762	11	john barth	The floating opera and The end of the road	0.0711	1988
uc1.b3462229	70	frances gladstone	Anne's youth	0.1087	1984
mdp.39015029499574	44	clarence e mulford	Hopalong Cassidy takes cards	0.0848	1937
mdp.39015010350976	63	brian moore	Catholics : a novel	0.1214	1972
mdp.39015017694699	2	anthony burgess	Beard's Roman women : a novel	0.0429	1976
uc1.b3267297	47	craig rice	The wrong murder	0.0642	1940
inu.39000005797423	31	randall s peffer	Watermen	0.1748	1979
inu.30000116545959	26	kathleen delaney	And murder for dessert	0.0826	2007
uc1.$b451195	53	francine prose	The Glorious Ones	0.0731	1974
mdp.39015012867530	39	rosamond smith	Lives of the twins	0.1205	1987
uc1.b4355146	47	francis pollini	The crown	0.0521	1967
coo.31924078673278	24	cristina garcía	The Aguero sisters	0.1191	1997
mdp.39015047546562	31	george lamming	Natives of my person	0.0699	1971
mdp.39015040035621	42	anna quindlen	Black and blue : a novel	0.0546	1998
uc1.b4975670	47	peter farrelly	Outside Providence	0.1213	1988
mdp.39015053575299	27	georges simenon	The little saint	0.0485	1965
uc1.32106018746187	15	ray bradbury	Farewell summer	0.1289	2006
uc1.32106012436249	36	alice thomas ellis	Pillars of gold : a novel	0.1129	1992
mdp.39015030741071	51	george harmon coxe	The jade Venus	0.073	1945
pst.000012745180	53	mollie hardwick	The Duchess of Duke Street	0.0594	1976
uc1.$b86093	79	dean brelis	The mission	0.0623	1958
